Comment,Designator,Footprint,LCSC
~,U5,SOP-8_3.9x4.9mm_P1.27mm,
100n,C19,C_0402_1005Metric,
100n,C18,C_0402_1005Metric,
100n,C17,C_0402_1005Metric,
100n,C16,C_0402_1005Metric,
100n,C15,C_0402_1005Metric,
100n,C14,C_0402_1005Metric,
100n,C13,C_0402_1005Metric,
100n,C12,C_0402_1005Metric,
100n,C11,C_0402_1005Metric,
100n,C10,C_0402_1005Metric,
Conn_01x04,J5,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04,J8,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04,J7,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04,J6,PinHeader_1x04_P2.54mm_Vertical,
~,U3,SOP-8_3.9x4.9mm_P1.27mm,
SW_SPDT,SW1,SW_SPDT_PCM12,
SW_SPDT,SW2,SW_SPDT_PCM12,
SW_SPDT,SW3,SW_SPDT_PCM12,
SW_SPDT,SW4,SW_SPDT_PCM12,
Conn_01x04,J4,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04,J1,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04,J2,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04,J3,PinHeader_1x04_P2.54mm_Vertical,
12p,C1,C_0402_1005Metric,
2k7,R3,R_0402_1005Metric,
LED,D4,D_0402_1005Metric,
100n,C8,C_0402_1005Metric,
LED,D5,D_0402_1005Metric,
5k1,R1,R_0402_1005Metric,
12p,C2,C_0402_1005Metric,
USB_C_Receptacle_USB2.0,USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,
470,R4,R_0402_1005Metric,
~,U2,SOP-8_3.9x4.9mm_P1.27mm,
10u,C4,C_0402_1005Metric,
FE1.1s,U1,SSOP-28_3.9x9.9mm_P0.635mm,
MAX232,U6,SOIC-16_3.9x9.9mm_P1.27mm,
100n,C7,C_0402_1005Metric,
10u,C3,C_0402_1005Metric,
MAX232,U7,SOIC-16_3.9x9.9mm_P1.27mm,
~,U4,SOP-8_3.9x4.9mm_P1.27mm,
470,R5,R_0402_1005Metric,
10u,C5,C_0402_1005Metric,
100n,C9,C_0402_1005Metric,
LED,D2,D_0402_1005Metric,
LED,D1,D_0402_1005Metric,
470,R6,R_0402_1005Metric,
100n,C6,C_0402_1005Metric,
LED,D3,D_0402_1005Metric,
5k1,R2,R_0402_1005Metric,
12M,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,
