Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,12p,C_0402_1005Metric,80.772,-80.645,90.0,top
C2,12p,C_0402_1005Metric,78.105,-82.931,0.0,top
C3,10u,C_0402_1005Metric,75.184,-79.883,-90.0,top
C4,10u,C_0402_1005Metric,79.502,-67.437,90.0,top
C5,10u,C_0402_1005Metric,74.041,-72.39,90.0,top
C6,100n,C_0402_1005Metric,86.868,-53.213,0.0,top
C7,100n,C_0402_1005Metric,86.868,-64.643,0.0,top
C8,100n,C_0402_1005Metric,86.868,-76.073,0.0,top
C9,100n,C_0402_1005Metric,86.868,-87.503,0.0,top
C10,100n,C_0402_1005Metric,102.362,-65.405,90.0,top
C11,100n,C_0402_1005Metric,102.362,-62.23,90.0,top
C12,100n,C_0402_1005Metric,96.139,-67.945,180.0,top
C13,100n,C_0402_1005Metric,96.139,-90.805,180.0,top
C14,100n,C_0402_1005Metric,102.362,-88.265,-90.0,top
C15,100n,C_0402_1005Metric,102.362,-85.09,-90.0,top
C16,100n,C_0402_1005Metric,98.044,-90.805,0.0,top
C17,100n,C_0402_1005Metric,102.743,-83.185,180.0,top
C18,100n,C_0402_1005Metric,98.044,-67.945,0.0,top
C19,100n,C_0402_1005Metric,102.743,-60.325,180.0,top
D1,LED,D_0402_1005Metric,72.644,-56.515,180.0,top
D2,LED,D_0402_1005Metric,72.644,-79.375,0.0,top
D3,LED,D_0402_1005Metric,72.644,-67.945,180.0,top
D4,LED,D_0402_1005Metric,72.644,-90.805,0.0,top
D5,LED,D_0402_1005Metric,76.454,-93.853,0.0,top
J1,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,92.456,-90.805,180.0,top
J2,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,92.456,-79.375,180.0,top
J3,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,92.456,-67.945,180.0,top
J4,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,92.456,-56.515,180.0,top
J5,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,105.537,-56.515,180.0,top
J6,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,105.537,-67.945,180.0,top
J7,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,105.537,-79.375,180.0,top
J8,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,105.537,-90.805,180.0,top
R1,5k1,R_0402_1005Metric,67.818,-67.818,0.0,top
R2,5k1,R_0402_1005Metric,67.818,-79.502,0.0,top
R3,2k7,R_0402_1005Metric,80.645,-67.437,-90.0,top
R4,470,R_0402_1005Metric,72.898,-76.454,-90.0,top
R5,470,R_0402_1005Metric,73.914,-76.454,-90.0,top
R6,470,R_0402_1005Metric,78.994,-93.853,0.0,top
SW1,SW_SPDT,SW_SPDT_PCM12,64.371,-63.905,-90.0,top
SW2,SW_SPDT,SW_SPDT_PCM12,64.371,-55.015,-90.0,top
SW3,SW_SPDT,SW_SPDT_PCM12,64.356,-83.406,-90.0,top
SW4,SW_SPDT,SW_SPDT_PCM12,64.356,-92.296,-90.0,top
U1,FE1.1s,SSOP-28_3.9x9.9mm_P0.635mm,78.105,-73.66,180.0,top
U2,~,SOP-8_3.9x4.9mm_P1.27mm,86.868,-56.515,0.0,top
U3,~,SOP-8_3.9x4.9mm_P1.27mm,86.868,-67.945,0.0,top
U4,~,SOP-8_3.9x4.9mm_P1.27mm,86.868,-79.375,0.0,top
U5,~,SOP-8_3.9x4.9mm_P1.27mm,86.868,-90.805,0.0,top
U6,MAX232,SOIC-16_3.9x9.9mm_P1.27mm,98.044,-62.23,180.0,top
U7,MAX232,SOIC-16_3.9x9.9mm_P1.27mm,98.044,-85.09,180.0,top
USB1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,66.04,-73.66,-90.0,top
Y1,12M,Crystal_SMD_3225-4Pin_3.2x2.5mm,78.105,-80.645,0.0,top
